SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,545 Ashbury St #2,San Francisco,CA,94117,849000,1,1.0,San Francisco,,2500,1900,18,,338,Active,,,http://www.redfin.com/CA/San-Francisco/545-Ashbury-St-94117/unit-2/home/114072474,San Francisco MLS,421523837,N,Y,37.7702626,-122.4472325
MLS Listing,,Single Family Residential,336 Bradford St,San Francisco,CA,94110,1140000,3,2.0,San Francisco,1450,1572,1927,28,786,,Active,,,http://www.redfin.com/CA/San-Francisco/336-Bradford-St-94110/home/966133,San Francisco MLS,421521361,N,Y,37.7375892,-122.40986
MLS Listing,,Condo/Co-op,5800 3Rd St #1211,San Francisco,CA,94124,680000,1,1.0,Portola District,817,,2010,28,832,432,Active,,,http://www.redfin.com/CA/San-Francisco/5800-3rd-St-94124/unit-1211/home/40625857,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40938478,N,Y,37.7250528,-122.3951255
MLS Listing,,Condo/Co-op,855 Folsom St #510,San Francisco,CA,94107,975000,1,1.5,San Francisco,1030,55687,2001,31,947,722,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-510/home/12398153,San Francisco MLS,421520348,N,Y,37.7807672,-122.4021418
MLS Listing,,Condo/Co-op,1635 California St #24,San Francisco,CA,94109,899000,2,2.0,San Francisco,915,,2005,63,983,639,Active,,,http://www.redfin.com/CA/San-Francisco/1635-California-St-94109/unit-24/home/12277015,San Francisco MLS,511753,N,Y,37.7901833,-122.4213456
MLS Listing,,Condo/Co-op,1370 Hayes St #1372,San Francisco,CA,94117,1450000,4,2.5,San Francisco,1706,,1900,178,850,286,Active,,,http://www.redfin.com/CA/San-Francisco/1370-Hayes-St-94117/unit-1372/home/148065731,San Francisco MLS,506674,N,Y,37.775124,-122.439022
PAST SALE,,Condo/Co-op,1 Buena Vista Ave E Unit 1A,San Francisco,CA,94117,618000,,1.0,,,2495,1950,,,,Off Market,,,http://www.redfin.com/CA/San-Francisco/143-Valmar-Ter-94112/home/1026409,Coming Soon,,N,Y,37.7252771,-122.4245985
MLS Listing,,Multi-Family (2-4 Unit),558 - 560 17th Ave,San Francisco,CA,94121,1880000,5,1.0,San Francisco,1990,2996,1916,1,945,,Active,,,http://www.redfin.com/CA/San-Francisco/558-17th-Ave-94121/home/1435902,San Francisco MLS,421530407,N,Y,37.7774643,-122.4756189
MLS Listing,,Condo/Co-op,400 Beale St #1904,San Francisco,CA,94105,898000,1,1.0,San Francisco,832,27581,2001,1,1079,895,Active,,,http://www.redfin.com/CA/San-Francisco/400-Beale-St-94105/unit-1904/home/12399585,San Francisco MLS,421529746,N,Y,37.7869049,-122.3909202
MLS Listing,,Condo/Co-op,250 King St #780,San Francisco,CA,94107,1135000,2,2.0,San Francisco,1142,,2004,1,994,899,Active,,,http://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-780/home/22889374,San Francisco MLS,506836,N,Y,37.7776422,-122.3934181
MLS Listing,,Single Family Residential,785 Colby St,San Francisco,CA,94134,1198000,3,2.0,San Francisco,1323,1750,1955,1,906,,Active,,,http://www.redfin.com/CA/San-Francisco/785-Colby-St-94134/home/897801,San Francisco MLS,421527370,N,Y,37.7207371,-122.4104242
MLS Listing,,Condo/Co-op,200 Brannan St #243,San Francisco,CA,94107,1495000,2,2.0,San Francisco,1522,72899,2004,1,982,884,Active,,,http://www.redfin.com/CA/San-Francisco/200-Brannan-St-94107/unit-243/home/1303843,San Francisco MLS,421528831,N,Y,37.7836002,-122.3907074
MLS Listing,,Condo/Co-op,1360 Montgomery St #11,SAN FRANCISCO,CA,94133,5995000,2,2.0,SAN FRANCISCO,1538,,1936,1,3898,1172,Active,,,http://www.redfin.com/CA/San-Francisco/1360-Montgomery-St-94133/unit-11/home/1466173,MLSListings,ML81834969,N,Y,37.8017977,-122.4043238
MLS Listing,,Single Family Residential,2054 31st Ave,San Francisco,CA,94116,1398000,3,1.5,San Francisco,1826,2996,1946,1,766,,Active,,,http://www.redfin.com/CA/San-Francisco/2054-31st-Ave-94116/home/651390,San Francisco MLS,421529642,N,Y,37.7489182,-122.4887037
MLS Listing,,Condo/Co-op,75 Folsom St #800,San Francisco,CA,94105,969000,1,1.0,San Francisco,1019,,1991,1,951,1193,Active,,,http://www.redfin.com/CA/San-Francisco/75-Folsom-St-94105/unit-800/home/723457,San Francisco MLS,421530220,N,Y,37.7898032,-122.3897573
